Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted?,Team,Average,Year 1,Year 2,Year 3,Total Yards from Scrimmage
Aaron Burbridge,WR,Michigan State,72,206,4.56,30.5,20,115,7.22,4.31,1,SF,29.33,88,0,0,88
Aaron Jones,RB,Texas-El Paso,69,208,4.56,37.5,16,127,6.82,4.2,1,GB,987.33,470,934,1558,8016
Albert Wilson,WR,Georgia State,69,202,4.43,37.5,10,123,7,4.21,0,,355.33,260,477,329,2659
Alfred Blue,RB,LSU,74,223,4.63,32,13,121,7.15,4.5,1,HOU,636.00,641,807,460,2877
Allen Hurns,WR,Miami (FL),73,198,4.55,31,14,120,7.23,4.5,0,,728.33,677,1031,477,3380
Alonzo Russell,WR,Toledo,76,206,4.54,29.5,12,112,7.18,4.33,0,,0.00,0,0,0,0
Amba Etta-Tawo,WR,Syracuse,73,208,4.49,31,14,126,6.95,4.32,0,,0.00,0,0,0,0
Ameer Abdullah,RB,Nebraska,69,205,4.6,42.5,24,130,6.79,3.95,1,DET,550.67,780,158,714,2890
Antonio Andrews,RB,Western Kentucky,70,225,4.82,29.5,20,106,7.24,4.49,0,,240.00,11,694,15,720
Artavis Scott,WR,Clemson,70,193,4.61,31,13,116,7.19,4.49,0,,0.00,0,0,0,0
Austin Franklin,WR,New Mexico State,71,189,4.56,36,7,124,7.07,4.33,0,,0.00,0,0,0,0
Bishop Sankey,RB,Washington,69,209,4.49,35.5,26,126,6.75,4,1,TEN,344.67,702,332,0,1034
Bralon Addison,WR,Oregon,69,197,4.66,34.5,13,116,6.95,4.14,0,,5.00,15,0,0,15
Brandin Cooks,WR,Oregon State,70,189,4.33,36,16,120,6.76,3.81,1,NO,994.00,653,1126,1203,9617
Brandon Wilds,RB,South Carolina,73,220,4.54,36.5,21,118,7.08,4.33,0,,20.67,47,0,15,62
Braxton Miller,WR,Ohio State,73,201,4.5,35,17,123,6.65,4.07,1,HOU,87.33,99,163,0,262
Braylon Heard,RB,Kentucky,70,198,4.63,30.5,19,116,7.19,4.4,0,,0.00,0,0,0,0
Brian Hill,RB,Wyoming,73,219,4.54,34,15,125,7.03,4.32,1,ATL,210.33,73,166,392,1295
Bruce Ellington,WR,South Carolina,69,197,4.45,39.5,15,120,6.69,3.95,1,SF,199.00,90,160,347,823
Byron Pringle,WR,Kansas State,73,203,4.46,33.5,15,120,6.87,4.4,0,,110.00,0,170,160,1194
Calvin Ridley,WR,Alabama,72,189,4.43,31,15,110,6.88,4.41,1,ATL,1041.00,848,900,1375,4443
Carlos Henderson,WR,Louisiana Tech,71,199,4.46,36,13,131,7.18,4.35,1,DEN,0.00,0,0,0,0
Cedrick Wilson,WR,Boise State,74,197,4.55,37,9,121,6.89,4.23,1,DAL,74.33,0,46,177,1276
Chad Hansen,WR,California,74,202,4.53,35,11,119,6.74,4.13,1,NYJ,31.33,94,0,0,330
Charles Sims,RB,West Virginia,72,214,4.48,37.5,17,126,7.16,4.3,1,TB,601.33,375,1090,339,2148
Charone Peake,WR,Clemson,74,209,4.45,35.5,12,122,6.96,4.46,1,NYJ,71.33,186,3,25,214
Chase Edmonds,RB,Fordham,69,205,4.55,34,19,122,6.79,4.07,1,ARI,523.00,311,408,850,3131
