Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted?,Average,Year 1,Year 2,Year 3,Total Yards from Scrimmage
72,206,4.56,30.5,20,115,7.22,4.31,1,29.33,88,0,0,88
69,208,4.56,37.5,16,127,6.82,4.2,1,987.33,470,934,1558,8016
69,202,4.43,37.5,10,123,7,4.21,0,355.33,260,477,329,2659
74,223,4.63,32,13,121,7.15,4.5,1,636.00,641,807,460,2877
73,198,4.55,31,14,120,7.23,4.5,0,728.33,677,1031,477,3380
76,206,4.54,29.5,12,112,7.18,4.33,0,0.00,0,0,0,0
73,208,4.49,31,14,126,6.95,4.32,0,0.00,0,0,0,0
69,205,4.6,42.5,24,130,6.79,3.95,1,550.67,780,158,714,2890
70,225,4.82,29.5,20,106,7.24,4.49,0,240.00,11,694,15,720
70,193,4.61,31,13,116,7.19,4.49,0,0.00,0,0,0,0
71,189,4.56,36,7,124,7.07,4.33,0,0.00,0,0,0,0
69,209,4.49,35.5,26,126,6.75,4,1,344.67,702,332,0,1034
69,197,4.66,34.5,13,116,6.95,4.14,0,5.00,15,0,0,15
70,189,4.33,36,16,120,6.76,3.81,1,994.00,653,1126,1203,9617
73,220,4.54,36.5,21,118,7.08,4.33,0,20.67,47,0,15,62
73,201,4.5,35,17,123,6.65,4.07,1,87.33,99,163,0,262
70,198,4.63,30.5,19,116,7.19,4.4,0,0.00,0,0,0,0
73,219,4.54,34,15,125,7.03,4.32,1,210.33,73,166,392,1295
69,197,4.45,39.5,15,120,6.69,3.95,1,199.00,90,160,347,823
73,203,4.46,33.5,15,120,6.87,4.4,0,110.00,0,170,160,1194
72,189,4.43,31,15,110,6.88,4.41,1,1041.00,848,900,1375,4443
71,199,4.46,36,13,131,7.18,4.35,1,0.00,0,0,0,0
74,197,4.55,37,9,121,6.89,4.23,1,74.33,0,46,177,1276
74,202,4.53,35,11,119,6.74,4.13,1,31.33,94,0,0,330
72,214,4.48,37.5,17,126,7.16,4.3,1,601.33,375,1090,339,2148
74,209,4.45,35.5,12,122,6.96,4.46,1,71.33,186,3,25,214
69,205,4.55,34,19,122,6.79,4.07,1,523.00,311,408,850,3131
74,213,4.35,45,18,139,7.06,4.3,1,301.33,199,530,175,2925
73,209,4.42,36,19,126,7.01,4,1,902.67,525,842,1341,6762
73,206,4.53,37,10,130,6.76,4.2,1,172.33,65,239,213,1779
